rank,artist,album,label,year,review_text
,Hop Along,Painted Shut,Saddle Creek,Staff Lists: Albums of the Year 2015: Honorable Mention,"The wiry, bookish sound of  will endure as long as MFA candidates pick up guitars, and Hop Along are at their vanguard. ""By the time it’s old/ My face will have been seen/ And I’ll share a very/ Common poverty/ It’s a very common kind,"" Frances Quinlan sings on ""Waitress"", a vignette about a disgraced diner server. It’s the only guitar-rock lyric I heard this year that reminded me of Italo Calvino’s description of ""habitual faces, whose features the bar mirror has watched thicken or sag,” for certain, and Hop Along spend all of their stellar third album leaping to capture these specific sorts of honors.Quinlan’s rough voice always sounds on the verge of giving out, but as a writer she is a tender guardian who sees dignity everywhere she looks: On ""The Knock"", she is moved to tears by the beaming Jehovah’s Witness who knocks on her door (""I never once seen a teenager look so radiant""), and ""Buddy in the Parade"" recalls the spectacular public breakdown of early-20th century cornetist Charles ""Buddy"" Bolden, who started frothing at the mouth during a parade performance and spent the rest of his life in a sanitarium. The songs are furiously angry in their energy and endlessly compassionate toward their targets, backing you into a corner and hugging you fiercely, like someone staging a very determined intervention on your behalf. —Jayson Greene"
48,Speedy Ortiz,Major Arcana,Carpark,Staff Lists: The Top 50 Albums of 2013,"singer/guitarist Sadie Dupuis’ syrup-and-snake-venom inkwell overflows with here-and-now urgency, as does the whole album’s spring-loaded tenseness. “Tiger Tank” strikes a harrowing harmonic itch that Dupuis’ vocal melody circles but refuses to scratch, and “Gary” lurches between darkness and dawn like a synesthesia-stricken vampire. “Plough”, on the other hand, is a singsong cipher that pits pop hooks against pinprick riffage and a disorienting falsetto trill that taunts logic. Nirvana’s  celebrated its 20th anniversary in 2013, but  is the real celebration—as well as the overdue prompt to mutate or die. —Jason Heller
"
47,The Range,Nonfiction,Donky Pitch,Staff Lists: The Top 50 Albums of 2013,"James Hinton’s debut as the Range, , came out of nowhere. What it did not do was come out of nowhere to floor you, knock you backward, or slap you in the face. The effect was more like the polite dosey doe you dance when bumping into a stranger. ""Oh, um."" ""Heh."" ""Sorry."" ""Yep.""  will pass without incident if you let it, but it managed to graze many of the year's trends—a re-exploration of grime, of breakbeats, and of drum & bass—while maintaining its personality and isolation. Sampladelic music is rarely so self-contained. The interjecting voices—mostly anonymous grime MCs—don't feel like conversations but footnotes, references to outside texts.  pilfers many of its samples from deep-crate YouTube clips, but the album avoids commenting on technology or media consumption. Hinton mined the service like you would a zine, a pirate radio station, or any other mercurial broadcast that feels like it's beamed directly to you: by internalizing its strangeness and mimicking its appeal. —Andrew Gaerig
"
46,M.I.A.,Matangi,Interscope,Staff Lists: The Top 50 Albums of 2013,"Let's have a brief moment of stock-taking: 2013 is a year in which Jay Z is recording advertisements for smartphones and Kanye West is recording minimalist industrial rap as means of revenge against the fashion industry. The two men duking it out for the title of Soul King are both white, and the de rigeur style of rapping is… singing. Beyoncé is on track to sell a record number of an album she didn't even promote. Who could blame Maya Arulpragasam for making an album that feels a bit ?  sounds like M.I.A.'s spiritual side picked a fight with her inner rebel, her inner rebel slapped back and then they cracked up about it and hopped in bed to create a record full of humor. Amidst the grimy lurch and clatter of these beats—her best since —is a rare, relaxed version of M.I.A. saying some truly left-field, whimsical stuff. She's making fun of Angelina Jolie's Lara Croft; she's rattling off lines like, ""there's 36 Chambers in my Wu-Tent,"" and, ""my blood type is no negative""; she's singing her own loopy, off-key version of a bedroom jam over a Weeknd beat and calling it “Sexodus”. And for once, everyone else is making her seem relatively normal. —Carrie BattanM.I.A.: "
45,Fuck Buttons,Slow Focus,ATP,Staff Lists: The Top 50 Albums of 2013,"Fuck Buttons’ debut, 2008's , featured distorted, near-black-metal vocals along with the expansive, low-tech electronics, letting the listener know there were humans in the room. Then came 2009's , a less duct-taped collection that found Benjamin Power and Andrew Hung disappearing a bit into the background, exploring electronic music more head on without entirely tightening the seams. Four years later, they offered up their self-produced third album, , a finely polished collection that matches the shiny decadence of the jewels on its cover. It's also the moment Fuck Buttons removed their fingerprints entirely from the equation, giving us alien, otherworldly sounds to mull over with less noise-rock mediation. And it's a revelation. The music’s as muscular as ever, it's just more efficient—maximalist minimalism?—and no matter how many times you listen to these seven tracks, you discover previously unlit corners. Unlike the past compositions, there's no levity or moments to catch your breath: Each song's pile of colorful synthesizers and deep, dark percussion adds up to a go-for-broke anthem, and they obviously haven't reached their limit. The way the duo's learned to layer and accrue detail, you get the sense that these whirling, pulsing pieces could snowball endlessly, growing larger and more beautiful each second, blowing off the roof only to diagram the sky. It's cool songs from  were played at the 2012 Summer Olympics opening ceremony. Too bad this wasn't ready for it. —Brandon Stosuy
"
,Against Me!,Transgender Dysphoria Blues,Total Treble,Staff Lists: Albums of the Year 2014: Honorable Mention,"In high school, Against Me! were the most credible band anyone I knew might know, punk iconoclasts spitting fiery songs about anarchy, DIY, revolution—topics that feel essential when you’re a teen. Well, you can guess what happened next: deals with major labels, seemingly unbounded promise unfulfilled, and parts of a fanbase left behind to cry ""sell out!"" as the band (which swiftly shed original members) began to re-examine the ethos that brought them here. In 2010, they acknowledged their failures on , emphasis on the past tense: ""Do you remember/ When you were young and you wanted to set the world on fire?"" That those lines came on a milquetoast major-label album escaped no one’s attention.Then, they found something new to scream about. In 2012, singer Laura Jane Grace came out as transgender, and, to general surprise, pointed out how some of the band’s earlier music had hinted at—but never fully explored—her gender dysphoria. On , she was free to sing without obfuscation. Grace’s voice has long been one of rock'n'roll’s massively emotive battering rams, and she’s never sounded more unbridled. Against Me! were always best when proffering a firm hand in an uncertain society—their punk songs are love songs, built for comfort in times of crisis. Over blood-churning guitars and galvanizing hooks, Grace gives her love to unnamed trans women bearing the brunt of callous discrimination, and to her wife, Heather, who must navigate this journey along with her. That love might not be enough—Grace knows from experience—but it’s there for the taking, kindling for the fire. ""There’s a brave new world that’s raging inside of me,"" Grace sings on ""FUCKMYLIFE666"", which combines insouciant rebellion—just look at the title—with bracing, poetic uncertainty about this next phase of her life.It’s an autobiographical album, not a concept album, insistent and uncompromising, sung by a trans woman for trans listeners without any filtering or translation. That’s genuinely revolutionary, in ways that punk bands simply fixated on anarchy rarely are. So despite the ""live fast, die young"" history of the genre, Against Me! is a punk band making their most necessary album as they approach 20 years of existence. (The kids I knew in high school never would’ve predicted that.) As Grace told  in 2012, when  was only in the works: ""However fierce our band was in the past, imagine me, six foot two, in heels, fucking screaming in someone’s face."" Consider that promise finally fulfilled. —Jeremy Gordon
"
,Lydia Ainsworth,Right from Real,Arbutus,Staff Lists: Albums of the Year 2014: Honorable Mention,", a collection of two EPs released earlier this year, is a revelation of a debut: stunning, fully-formed, suffused with wintry atmosphere, sonically omnivorous yet cohesive. As a female singer-songwriter whose palettes are artpop and synth-pop, the comparisons come fast and inevitable: one-time labelmate Grimes (the comparisons end there), the avant-pop likes of Julia Holter, and, of course, Kate Bush—in particular, and of all things, Bush’s . Yet Ainsworth’s vision is singular. ""Candle"" is an orchestral piece blown to bits by a backmasked digital gust. (If Ainsworth has a characteristic trick, this is it.) ""Moonstone"" periodically sounds about to turn into a Purity Ring song at half-speed, but settles as an otherworldly almanac of words and sounds. ""Malachite"" is the kind of gothy synthpop dozens of more seasoned artists have failed to get this gloriously right. ""Take Your Face Off"" doesn’t seem like it should work, swooping through cello gloom, R&B melisma, sunsoaked keyboard lines, and twitchy synth lattices, it evokes Tori Amos (in a couple places, Ainsworth channels near-exactly some Amos inflections that aren’t that common), Dawn Richard (another doppelgänger, in her low range and songwriting ambition) and the Art of Noise (directly  in the drifty midsection). And, somehow, it all coheres. It’s intricate enough to reward close listening and immediate enough in its pleasures to sound astonishing from listen one; during its best moments,  is breathtaking in the best way: the way where you didn’t know music could do this. —Katherine St. Asaph
"
50,Ben Frost,A U R O R A,Mute / Bedroom Community,Staff Lists: The 50 Best Albums of 2014,"Ben Frost puts a lot of thought into his music, technically and conceptually. His song titles and interviews pack his dense, throbbing scrawls with allusions to everything from biochemistry to . This is somewhat ironic, as the main capacity of his music is to overwhelm rational thought. It registers in the limbs and viscera, not in the mind. On , mostly recorded in the Democratic Republic of the Congo, Frost mostly jettisons the guitars and classical instruments of prior albums, though standout deep cut ""Sola Fide"" does sound like a catastrophic collision between chamber music and a rave. Instead, he doubles down on heavy synths and heaving drums courtesy of powerhouses such as Greg Fox (Liturgy), Thor Harris (Swans), and Shahzad Ismaily. The result has a rough but elaborate physical presence—something huge and shuddering running on filthy kerosene, about to snap a belt or throw a bolt and maim the operator. But Frost is never overpowered by his brawny, chaotic material. However strong it is, his will is stronger, and gales of distortion bend to his command with clarity and definition. His prior marquee album, 2009’s , was excellent but less single-minded in its pursuit. This is the one that really grabs you and doesn’t let go. —Brian Howe
"
49,Mr Twin Sister,Mr Twin Sister,Infinite Best / Twin Group,Staff Lists: The 50 Best Albums of 2014,"Lots of indie bands have mined the giddiness and sexual empowerment of the disco era, but few have tapped into the cultural fracture that followed it. The language of identity crisis is all over Mr Twin Sister’s second album, right down to the fact that they added a ""Mr"" to their name for this self-released sophomore effort (and then named the album after their newly christened selves).  is slicker, sexier, a little more concerned with mortality (the band endured a serious van accident in 2013), and the quintet’s lyrics often chase several possible threads: On ""Out of the Dark"", singer Andrea Estella declares that ""I am a woman, but inside I’m a man, and I want to be as gay as I can!"" A minute later, she looks back and wonders: ""What ever happened to poor, dear me?”Mr Twin Sister are also adept at following the trickle-down of commonalities between house, electro, and new wave (especially on ""Rude Boy"", which suggests a shared lineage with Tom Tom Club’s ""Genius of Love""). And like any honest survey of nightlife music, 's high highs (""In The House of Yes"", ""Twelve Angels"") are followed quickly by low lows (""Blush"", ""Crime Scene"")—the two sides of the same airy fantasy. —Abby Garnett
"
,Nick Cave & the Bad Seeds,Push The Sky Away,Bad Seed Ltd.,Staff Lists: Albums of the Year: Honorable Mention,"Nick Cave must have the weirdest browser history imaginable. For , he found lyrical inspiration in the stranger corners of the internet, writing songs based on Googling curiosities and absurdist autocompletes. The result is the anti-, an embrace rather than a rejection of technology’s poetic possibilities. It’s also an outlier in Cave’s catalog, with lyrics full of fever-dream imagery: Robert Johnson, Hannah Montana, mermaids. Meanwhile, the Bad Seeds turn down their fire-and-brimstone drama. Their first album without founding member Mick Harvey, is aggressively subdued: quiet, but good lord, not mellow. On songs like “We No Who U R” and “Water’s Edge”, the music coils tightly around Cave’s vocals as if the band might pounce at any moment. They never do. Instead, they sustain that fraught atmosphere across the album’s nine tracks, which climax with the eight-minute Geneva-to-Memphis-to-Taluca-Lake road trip “Higgs Boson Blues”. That there is no moment of release, no sense of catharsis, no space to take a breath only makes sound pricklier, like a link you can’t unclick. —Stephen DeusnerNick Cave and the Bad Seeds: "
,Classixx,Hanging Gardens,Innovative Leisure,Staff Lists: Albums of the Year: Honorable Mention,"Having evidently taken their career notes from a hipster bingo card (bloghouse edition), California’s Tyler Blake and Michael David got their start on the internet remix circuit (check) where they refit a couple of tracks under the Bowie-nodding (yup) moniker Young Americans. After re-christening themselves as Classixx, the pair commissioned some Kraftwerk-inspired (uh huh) artwork and made , an album that goofily samples everything from Fleetwood Mac (tick) to Tears For Fears (tick tick) over the course of its 12 tracks. I know, I know. But what looks like pure troll bait on paper is actually irresistible on wax. One of those classic sleeper records that neither astonishes nor offends,  spends the whole afternoon locked in third gear. With vocals from a smattering of guest stars such as LCD Soundsystem’s Nancy Whang and Active Child, and a judicious mix of summer-ready singles (of which Whang’s “All You’re Waiting For” is the finest) and knowing deep cuts, this is one of those poolside records that not only transcends the genre of bubblegum disco but also the adversity of its own cliché. —Mark Pytlik
"
,Mikal Cronin,MCII,Merge,Staff Lists: Albums of the Year: Honorable Mention,"If anybody made a better rock record for car stereos this year, I didn’t hear it—probably because was stuck in my disc-changer all summer. Mikal Cronin makes the creation of strummy, jangly, shout-along songs seem as easy and natural as opening a window and letting the breeze whip past your steering wheel. But writing songs as consistently winning and tuneful as those found on is far from easy—if it was, Cronin would not have so swiftly established himself as the best songwriter currently working in the loosely defined garage rock milieu. Lyrically, Cronin veers between joy and despair—he has enough “Peace of Mind” to “Shout it Out” one minute, and then wonders “Am I Wrong” and pleads “Don’t Let Me Go” the next. As a young, sensitive guy, he’s predictably mixed up. But as a fountain of punky power-pop hooks, Cronin is all confidence. —Steven Hyden
"
,Death Grips,Government Plates,self-released,Staff Lists: Albums of the Year: Honorable Mention,"Having descended into a PR hell of cancelled gigs and no-show pranks that left many sour, how could Death Grips push themselves forward? By going all in on the self-obliterating aural-suicide angle, as they do on . Death Grips' fourth full-length is divided into two parts: There's everything leading up to “Birds”, which smashes the lines between IDM, noise, hip-hop, and raw rock. Then there's everything “Birds”, which takes those smashed conventions and fashions something even more unrecognizable and unfuckwithable from them. Little of the technique drummer Zach Hill's been lauded for remains, and even fewer natural percussion sounds are are present. Who misses them? Stefan “MC Ride” Burnett, meanwhile, provides an argument against lyricismhis intonation is a weapon, even if you can't understand what he's saying. Andy “Flatlander” Morin's electronics blur the lines between agony and ecstasy, providing a new feeling that the expression “pain for pleasure” doesn't quite capture. —Andy O'Connor
"
,Grouper,The Man Who Died in His Boat,Kranky,Staff Lists: Albums of the Year: Honorable Mention," is Liz Harris’ most beloved album, marking the moment when her hushed ballads could be most clearly discerned in their twilit surroundings.  consists of songs recorded around the same timea time when Harris was “sick with depression and solitude”and with much the same means. But far from a collection of inferior castoffs, these songs are easily the equal of their exquisite predecessors. Built mostly from acoustic guitar and Harris’ sleep-heavy voice, they tap into a sense of the sublime and the poetic vastness of the North American landscape. And yet Harris’ America is internal, a psychological landscape fogged with dream-matter and liable to shift and roil like the surface of a cloud. There is something timeless about this particular heartstring being plucked: It doesn’t get old. So while Harris has gone back to more abstract work since 2008the A I A series, and has rounded out this year with a range of divergent collaborative projects, this period of her output will probably retain its special radiance for a long time to come. “I often picture releasing an album as trying to secretly sink a heavy object in a lake,” Harris said in an  earlier this year. “Find a quiet corner, gently slip it under the surface, watch the ripples for a moment, and steal away.” —Angus Finlayson
"
,Tim Hecker,Virgins,Kranky / Paper Bag,Staff Lists: Albums of the Year: Honorable Mention,"Tim Hecker’s discography has traced such a steady incline, it’s sometimes tough to describe how one album differs from the last—other than the fact that it’s better. But with , there are some clear deviations. It’s the first record Hecker made primarily with live instruments, many played by his colleagues in the  collective. It’s also his most spacious-sounding work—those instruments, especially the vibrating woodwinds, get tons of room to breathe—as well as his most classically minimalist, filled with repetitions that echo the phase innovations of .More importantly, there’s a forceful, near-violent thrust to much of , marking it more of a career reset than a logical step forward. Hecker sounds continually ready to fight, or at least unwilling to retreat. Part of that comes from the refreshing shock of hearing actual clacks from keys and puffs from horns. And part comes from the sheer bluntness of his attack: Every sound, even the softer ones, rushes in. Thus the literally titled “Live Room” cycles through myriad tones and moods without ever losing its urgent grip, while “Virginal II” makes simple chords sound like bullets from a machine gun. If that sounds like a call to arms, that’s because Hecker’s still a soldier. He could’ve just reported for duty and come up with something good, but  shows he’s still out to win both the battle and the war. –Marc Masters
"
,Hiss Golden Messenger,Haw,Paradise of Bachelors,Staff Lists: Albums of the Year: Honorable Mention,"The music M.C. Taylor makes as Hiss Golden Messenger defies easy description.  is his best record thus far and the most fitting example of just how difficult and confusing it is to nail him down; it’s like Bonnie “Prince” Billy and R. Kelly bailed on the  and just got in the studio together.  is rootsy, containing all of the instruments you’d associate with a folk-rock record, but also full of orchestral flair. It’s got its feet in country, its mind in pop. It’s laid-back but obsessed with detail. It’s an album flecked with brightness that’s mostly about death and full of Bible allusions. On “Sufferer (Love My Conquerer)”, Taylor spins a tight web of soulful vocal runs and imaginative instrumentation, establishing the album's pulse. It’s like all the radio stations on your AM dial melted into one mutant signal, funk and gospel and preacher’s chatter all bleeding into Taylor’s folk. —Corban Goble
"
